,cas_number,moldb_smiles,klass
Honyucitrin,114542-44-8,CC(C)=CCC1=CC(=CC(CC=C(C)C)=C1O)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,
Fragransol A,114394-19-3,COC(C(C)O)C1=CC2=C(OC(C2C)C2=CC(OC)=C(O)C=C2)C(OC)=C1,
Fragransol B,114394-20-6,COC1=CC(CCO)=CC2=C1OC(C2C)C1=CC(OC)=C(O)C=C1,
Fragransin D3,114422-24-1,COC1=CC(=CC(OC)=C1O)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1,
Fragransin D2,114394-21-7,COC1=CC(=CC=C1O)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C(OC)=C1,
Safflor Yellow B,91574-92-4,OCC(O)C(O)C(O)C(O)C(C1=C(O)C(O)(C2OC(CO)C(O)C(O)C2O)C(O)=C(C(=O)\C=C\C2=CC=C(O)C=C2)C1=O)C1=C(O)C(O)(C2OC(CO)C(O)C(O)C2O)C(O)=C(C(=O)\C=C/C2=CC=C(O)C=C2)C1=O,
Gomphidic acid,25328-77-2,OC(=O)C(=C1/OC(=O)C(=C1O)C1=CC(O)=C(O)C(O)=C1)\C1=CC=C(O)C=C1,
Assafoetidin,115361-83-6,C\C(CCC1=C(C)CCC(O)C1(C)C)=C\COC1=CC2=C(C=CC(=O)O2)C=C1,
"(2E,4Z,7Z)-2,4,7-Decatrienal",43108-49-2,CC\C=C/C\C=C/C=C/C=O,
"(2E,4Z,7Z)-2,4,7-Tridecatrienal",13552-96-0,CCCCC\C=C/C\C=C\C=C\C=O,
"(2E,5Z)-2,5-Undecadienal",13553-02-1,CCCCC\C=C/C\C=C\C=O,
3-Octen-2-one,1669-44-9,CCCC\C=C\C(C)=O,
4-Hydroxy-5-methyl-3(2H)-thiophenone,26494-09-7,CC1=C(O)C(=O)CS1,
(E)-4-Hexenal,25166-87-4,C\C=C/CCC=O,
3-(Carboxymethylamino)propanoic acid,505-72-6,OC(=O)CCNCC(O)=O,
5-Ethylsotolone,698-10-2,CCC1OC(=O)C(O)=C1C,
3-[(3-Methylbutyl)nitrosoamino]-2-butanone,71016-15-4,CC(C)CCN(N=O)C(C)C(C)=O,
2-Methyl-2-octenal,73757-27-4,CCCCC\C=C(\C)C=O,
Isomugineic acid,74281-81-5,OC(CN1CCC1C(O)=O)C(NCCC(O)C(O)=O)C(O)=O,
"2,5-Dimethyl-1,4-dithiane-2,5-diol",55704-78-4,CC1(O)CSC(C)(O)CS1,Dithianes
(±)-6-Chlorotryptophan,17808-21-8,NC(CC1=CNC2=C1C=CC(Cl)=C2)C(O)=O,
Glycerylphosphoinositol,129830-95-1,OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,
4-O-Methylgalactinol,75589-40-1,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,
"7,7'-Dihydroxy-6,8'-bicoumarin",15575-52-7,OC1=CC2=C(C=CC(=O)O2)C=C1C1=C(O)C=CC2=C1OC(=O)C=C2,
(-)-Lariciresinol,83327-19-9,COC1=CC(CC2COC(C2CO)C2=CC=C(O)C(OC)=C2)=CC=C1O,
"2-Acetyl-4,5-dihydrothiazole",29926-41-8,CC(=O)C1=NCCS1,
3-Methyl-2-phenylbutanal,2439-44-3,CC(C)C(C=O)C1=CC=CC=C1,
Juglone glucoside,22427-35-6,OCC1OC(OC2=CC=CC3=C2C(=O)C=CC3=O)C(O)C(O)C1O,
"2,3-Dihydro-2-methylthiophene",129763-90-2,CC1CC=CS1,
"2,3-Dihydro-5-methylthiophene",4610-02-0,CC1=CCCS1,
Ajoene,92285-01-3,C=CCSS\C=C/CS(=O)CC=C,
Cyclotetradecane,295-17-0,C1CCCCCCCCCCCCC1,
5-Oxohexanal,505-03-3,CC(=O)CCCC=O,Carbonyl compounds
Syoyualdehyde,58921-44-1,CC(=O)C(\C)=C/C=O,
QS 21,141256-04-4,CCC(C)C(CC(O)CC(=O)OC(CC(O)CC(=O)OC1C(C)OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(OC4OCC(O)(CO)C4O)C3O)C(O)C2O)C1O)C(C)CC)OC1OC(CO)C(O)C1O,
Neoschaftoside,61328-41-4,OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OCC(O)C(O)C2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1,
Vicenin 3,59914-91-9,OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OCC(O)C(O)C2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1,
Apigenin 6-C-glucoside 8-C-riboside,207461-10-7,OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OCC(O)C(O)C2O)=C2OC(=CC(=O)C2=C1O)C1=CC=C(O)C=C1,
"1-Acetyl-3,14,20-trihydroxywitha-5,24-dienolide 3-glucoside",227179-07-9,CC(=O)OC1CC(CC2=CCC3C(CCC4(C)C(CCC34O)C(C)(O)C3CC(C)=C(C)C(=O)O3)C12C)OC1OC(CO)C(O)C(O)C1O,
"(3b,20R,22R)-3,20,27-Trihydroxy-1-oxowitha-5,24-dienolide 3-glucoside",227179-09-1,CC1=C(CO)C(=O)OC(C1)C(C)(O)C1CCC2C3CC=C4CC(CC(=O)C4(C)C3CCC12C)OC1OC(CO)C(O)C(O)C1O,
"(1R,2R,4R,8R)-p-Menthane-2,8,9-triol",212516-28-4,CC1CCC(CC1O)C(C)(O)CO,
"(1R,2R,4R,8S)-p-Menthane-2,8,9-triol",212516-26-2,CC1CCC(CC1O)C(C)(O)CO,
QS 18,175295-49-5,CCC(C)C(CC(O)CC(=O)OC(CC(O)CC(=O)OC1C(C)OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(OC4OCC(O)(CO)C4O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C1O)C(C)CC)OC1OC(CO)C(O)C1O,
7-Azaindolizine,274-45-3,C1=CN2C=CN=CC2=C1,
3-Epidemissidine,78513-80-1,CC1C2CCC(C)CN2C2CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C12,
10-Undecen-2-one,36219-73-5,CC(=O)CCCCCCCC=C,
Galactosyl erythro-5-hydroxy-L-lysine,32448-36-5,NCC(CCC(N)C(O)=O)OC1OC(CO)C(O)C(O)C1O,
Aquifoliunine EIII,220751-20-2,CC1C(C)C(=O)OC2C(OC(C)=O)C(OC(C)=O)C3(COC(C)=O)C(OC(C)=O)C(O)C4C(OC(C)=O)C3(OC4(C)COC(=O)C3=C1N=CC=C3)C2(C)O,
Aquifoliunine EIV,220751-22-4,CC1C(C)C(=O)OC2C(OC(C)=O)C(OC(C)=O)C3(COC(C)=O)C(OC(C)=O)C(OC(=O)C4=CN=CC=C4)C4C(OC(C)=O)C3(OC4(C)COC(=O)C3=C1N=CC=C3)C2(C)O,
28-Glucosylarjunolate 3-[rhamnosyl-(1->3)-glucuronide],214840-33-2,CC1OC(OC2C(O)C(OC3C(O)CC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(CCC54C)C(=O)OC4OC(CO)C(O)C(O)C4O)C3(C)CO)OC(C2O)C(O)=O)C(O)C(O)C1O,
cis-o-Coumaric acid 2-glucoside,617-45-8,OCC1OC(OC2=C(\C=C\C(O)=O)C=CC=C2)C(O)C(O)C1O,
Syringin,118-34-3,COC1=CC(\C=C\CO)=CC(OC)=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
"(E)-1,11-Tridecadiene-3,5,7,9-tetrayne",26130-86-9,C\C=C/C#CC#CC#CC#CC=C,
Diethyl tartrate,87-91-2,CCOC(=O)C(O)C(O)C(=O)OCC,
Acesulfame,33665-90-6,CC1=CC(=O)NS(=O)(=O)O1,
"2'-Hydroxy-4,4',6'-trimethoxychalcone",3420-72-2,COC1=CC=C(\C=C\C(=O)C2=C(O)C=C(OC)C=C2OC)C=C1,
Coumestrol,479-13-0,OC1=CC2=C(C=C1)C1=C(O2)C2=C(OC1=O)C=C(O)C=C2,Isoflavonoids
Coumestrin,92631-72-6,OCC1OC(OC2=CC3=C(C=C2)C2=C(C4=C(O2)C=C(O)C=C4)C(=O)O3)C(O)C(O)C1O,
9-O-Methylcoumestrol,1690-62-6,COC1=CC2=C(C=C1)C1=C(O2)C2=C(OC1=O)C=C(O)C=C2,
Ethyl anthranilate,87-25-2,CCOC(=O)C1=CC=CC=C1N,
(R)-Methysticin,495-85-2,COC1=CC(=O)OC(C1)\C=C/C1=CC2=C(OCO2)C=C1,
4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,3850-38-2,OCC1CNC(C1)C(O)=O,
"1,11-Tridecadiene-3,5,7,9-tetrayne",2345-16-6,C\C=C/C#CC#CC#CC#CC=C,
"(Z)-1,11-Tridecadiene-3,5,7,9-tetrayne",26130-86-9,C\C=C/C#CC#CC#CC#CC=C,
Hexadecanamide,629-54-9,CCCCCCCCCCCCCCCC(N)=O,Fatty Acyls
Safrole,94-59-7,C=CCC1=CC2=C(OCO2)C=C1,Benzodioxoles
"(2E,4E)-2,4-Nonadienal",6750-03-4,CCCC\C=C\C=C/C=O,
(R)C(S)S-Alliin,556-27-4,NC(CS(=O)CC=C)C(O)=O,
D-Glucitol,50-70-4,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Carbohydrates and carbohydrate conjugates
Quercetin 7-(6''-acetylglucoside),72659-74-6,OC1C(O)C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(OC2=CC(O)=C3C(OC(=C(O)C3=O)C3=CC(O)=C(O)C=C3)=C2)C1O,
4-(4-Acetoxyphenyl)-2-butanone,3572-06-3,CC(=O)CCC1=CC=C(OC(C)=O)C=C1,
"(3beta,4alpha,5alpha,9beta)-4,14-Dimethyl-9,19-cycloergost-24-en-3-ol",64543-35-7,CC(CCC(C)=C(C)C)C1CCC2(C)C3CCC4C(C)C(O)CCC44CC34CCC12C,
"(3xi,4alpha,5alpha,14alpha)-4,14-Dimethylergosta-8,24-dien-3-ol",64543-34-6,CC(CCC(C)=C(C)C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)C1CC3,
4-(4-Methoxyphenyl)-2-butanone,104-20-1,COC1=CC=C(CCC(C)=O)C=C1,
"1,2,3-Trimethoxybenzene",634-36-6,COC1=CC=CC(OC)=C1OC,
Vignatic acid A,181485-19-8,CC(C)CC(O)C(=O)NC1C(OC2=CC=C(CC(NC(=O)C(CC3=CC=CC=C3)NC1=O)C(O)=O)C=C2)C(C)C,
Cyclolinopeptide D,222527-66-4,CCC(C)C1NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=CC=C2)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCS(C)=O)NC1=O,
Cyclolinopeptide E,222527-67-5,CCC(C)C1NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CCS(C)=O)NC1=O)C(C)C,
Dihydrojasmonic acid,98674-52-3,CCCCCC1C(CC(O)=O)CCC1=O,
Cabbage identification factor 1,481-06-1,OC(=O)C1CSC2=NC=C3C(=NC4=CC=CC=C34)N12,
2-Heptadecylfuran,208329-97-9,CCCCCCCCCCCCCCCCCC1=CC=CO1,
2-Pentadecylfuran,59958-20-2,CCCCCCCCCCCCCCCC1=CC=CO1,
(S)-[8]-Gingerol,23513-08-8,CCCCCCCC(O)CC(=O)CCC1=CC(OC)=C(O)C=C1,
(S)-[10]-Gingerol,23513-15-7,CCCCCCCCCC(O)CC(=O)CCC1=CC(OC)=C(O)C=C1,
Vignatic acid B,181485-20-1,CC(C)CC(O)C(=O)NC1C(OC2=CC=C(CC(NC(=O)C(CC(C)C)NC1=O)C(O)=O)C=C2)C(C)C,
3-Methylbutyl hexanoate,2198-61-0,CCCCCC(=O)OCCC(C)C,
Hexyl hexanoate,6378-65-0,CCCCCCOC(=O)CCCCC,
Hexyl butyrate,2639-63-6,CCCCCCOC(=O)CCC,
Cabbage identification factor 2,56-40-6,OC(=O)CNC(=O)C1CSC2=NC=C3C(=NC4=CC=CC=C34)N12,
"(3R,7R)-1,3,7-Octanetriol",217650-11-8,CC(O)CCCC(O)CCO,
D-Erythroascorbic acid 1'-a-D-xylopyranoside,174339-85-6,OC1COC(OCC2OC(=O)C(O)=C2O)C(O)C1O,
D-Erythroascorbic acid 1'-a-D-glucoside,174339-86-7,OCC1OC(OCC2OC(=O)C(O)=C2O)C(O)C(O)C1O,
Pandamarilactam 3gamma,189179-33-7,CC1=C\C(OC1=O)=C/CCCN1CCCC1=O,
Lactapiperanol C,243447-93-0,COC1OCC2(O)C(O)C3CC(C)(C)CC3C3(C)CC123,
Lactapiperanol D,243447-94-1,COC1OCC2(O)C(OC(C)=O)C3CC(C)(C)CC3C3(C)CC123,
Furohyperforin,219793-20-1,CC(C)C(=O)C12C(=O)C(CC=C(C)C)=C3OC(CC3(CC(CC=C(C)C)C1(C)CCC=C(C)C)C2=O)C(C)(C)O,
"(3beta,5alpha,6beta,22E,24R)-23-Methylergosta-7,22-diene-3,5,6-triol",243449-54-9,CC(C)C(C)C(\C)=C\C(C)C1CCC2C3=CC(O)C4(O)CC(O)CCC4(C)C3CCC12C,
"(3beta,5alpha,6beta,9alpha,22E,24R)-23-Methylergosta-7,22-diene-3,5,6,9-tetrol",243449-55-0,CC(C)C(C)C(\C)=C\C(C)C1CCC2C3=CC(O)C4(O)CC(O)CCC4(C)C3(O)CCC12C,
(S)-3-Methylthiohexyl acetate,51755-85-2,CCCC(CCOC(C)=O)SC,
Cyclotricuspidogenin C,239794-30-0,CC(C)C(O)(CO)CCC(C)C1C(O)CC2(C)C3CCC4C5(CC35CCC12C)C(O)CC(O)C4(C)C(O)=O,
Cyclotricuspidoside C,239794-23-1,CC(C)C(O)(CCC(C)C1C(O)CC2(C)C3CCC4C5(CC35CCC12C)C(O)CC(O)C4(C)C(=O)OC1OC(CO)C(O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,
Putranjivain A,131959-62-1,OC1COC2(OC3(O)CC45C2OC2(O)C4C4=C(OC32O)C(O)=C(O)C=C4C(=O)OC2C(OC(=O)C3=CC(O)=C(O)C(O)=C3)OC3COC(=O)C4=CC(O)=C(O)C(O)=C4C4=C(O)C(O)=C(O)C=C4C(=O)OC2C3OC5=O)C1O,
"3',4',5'-Trimethoxyflavone",67858-30-4,COC1=CC(=CC(OC)=C1OC)C1=CC(=O)C2=CC=CC=C2O1,Flavonoids
"1,3-Bis(hydroxymethyl)-3-methylbicyclo[2.2.1]heptan-2-one",240495-77-6,CC1(CO)C2CCC(CO)(C2)C1=O,
"7-Methyl-3-methylene-1,6,7-octanetriol",240495-78-7,CC(C)(O)C(O)CCC(=C)CCO,
"(3b,21b)-12-Oleanene-3,21,28-triol 28-[arabinosyl-(1->3)-arabinosyl-(1->3)-arabinoside]",243468-98-6,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(COC2OCC(O)C(OC3OCC(O)C(OC4OCC(O)C(O)C4O)C3O)C2O)CC1O,
"(2xi,3xi,6E)-3,7-Dimethyl-6-octene-1,2,3,8-tetrol",240495-79-8,C\C(CO)=C/CCC(C)(O)C(O)CO,
10-Hydroxy-8-nor-2-fenchanone glucoside,240495-82-3,CC1C2CCC(COC3OC(CO)C(O)C(O)C3O)(C2)C1=O,
"(1S,2S,4S,5S)-2,4-Thujanediol 4-O-beta-D-Glucopyranoside",240495-81-2,CC(C)C12CC1C(C)(CC2O)OC1OC(CO)C(O)C(O)C1O,
"(1S,2S,4S,5S)-2,4,7-Thujanetriol 4-glucoside",240495-80-1,CC(C)(O)C12CC1C(C)(CC2O)OC1OC(CO)C(O)C(O)C1O,
Viniferifuran,223591-26-2,OC1=CC=C(\C=C/C2=CC(O)=CC3=C2C(=C(O3)C2=CC=C(O)C=C2)C2=CC(O)=CC(O)=C2)C=C1,
Ellagic acid 2-rhamnoside,211371-02-7,CC1OC(OC2=CC3=C4C(OC(=O)C5=CC(O)=C(O)C(OC3=O)=C45)=C2O)C(O)C(O)C1O,
"5,6:8,9-Diepoxyergost-22-ene-3,7alpha-diol",243449-51-6,CC(C)C(C)\C=C\C(C)C1CCC2C34OC3(CCC12C)C1(C)CCC(O)CC11OC1C4O,
"4',5,6,7,8-Pentahydroxy-3'-methoxyflavone",181020-34-8,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(O)=C(O)C(O)=C2O1,
Estragonoside,181020-33-7,COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(O)=C(O)C(OC3OC(C)C(O)C(O)C3O)=C2O1,
"Prunin 4'',6''-digallate",536-08-3,OC1C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC1OC1=CC(O)=C2C(=O)CC(OC2=C1)C1=CC=C(O)C=C1,
1-alpha-Acevaltrate,78700-02-4,CC(C)CC(=O)OC1C=C2C(C(OC(=O)C(OC(C)=O)C(C)C)OC=C2COC(C)=O)C11CO1,
11-Deacetylvaltrate 11-(3-hydroxy-3-methylbutanoate),96681-66-2,CC(C)CC(=O)OC1C=C2C(C(OC(=O)CC(C)C)OC=C2COC(=O)CC(C)(C)O)C11CO1,
"7,11-Bisdeacetylvaltrate 7-(3-methylpentanoate) 11-(3-hydroxy-3-methylbutanoate)",137088-15-4,CCC(C)CC(=O)OC1C=C2C(C(OC(=O)CC(C)C)OC=C2COC(=O)CC(C)(C)O)C11CO1,
Mulberrofuran A,68978-04-1,COC1=CC(O)=CC(C2=CC3=C(O2)C=C(O)C=C3)=C1C\C=C(/C)CCC=C(C)C,
De-O-methylsterigmatocystin,30461-65-5,OC1=CC2=C(C3C=COC3O2)C2=C1C(=O)C1=C(O)C=CC=C1O2,
De-O-methyldihydrosterigmatocystin,30517-66-9,OC1=CC2=C(C3CCOC3O2)C2=C1C(=O)C1=C(O)C=CC=C1O2,
Dihydrohydroxy-O-methylsterigmatocystin,30099-66-2,COC1=CC2=C(C3CC(O)OC3O2)C2=C1C(=O)C1=C(OC)C=CC=C1O2,
(R)-Athanagrandione,69926-93-8,CC(C)CC(=O)CC(C)(O)CCC(=O)C1=COC=C1,
4-Hydroxydehydromyoporone,72896-64-1,CC(C)=CC(=O)CC(C)(O)CCC(=O)C1=COC=C1,
(R)-5'-Deoxy-5'-(methylsulfinyl)adenosine,897-42-7,CS(=O)CC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2N,
Decarbamoylneosaxitoxin,68683-58-9,OCC1C2NC(=N)NC22N(CCC2(O)O)C(=N)N1O,
N'-Hydroxysaxitoxin,153856-77-0,ONC(=O)OCC1NC(=N)N2CCC(O)(O)C22NC(=N)NC12,
N'-Hydroxyneosaxitoxin,153856-78-1,ONC(=O)OCC1C2NC(=N)NC22N(CCC2(O)O)C(=N)N1O,
KB 2,133740-64-4,CC(C)(O)CCC1=C(OC2=C(C(O)=CC3=C2C=CC(C)(C)O3)C1=O)C1=CC(O)=C(O)C=C1O,
(±)-3-Methylcyclohexanone,625-96-7,CC1CCCC(=O)C1,
Quercetin 4'-glucuronide,201463-36-7,O[C@@H]1[C@@H](O)[C@H](OC2=CC=C(C=C2O)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O)O[C@@H]([C@H]1O)C(O)=O,
"1,4-Dithiane-2,5-diol",40018-26-6,OC1CSC(O)CS1,
4'-O-Methylglabridin,68978-09-6,COC1=CC(O)=C(C=C1)C1COC2=C(C1)C=CC1=C2C=CC(C)(C)O1,
Lycopersiconolide,110612-29-8,CC1(O)C2C(CC3C4CCC5CC(O)CCC5(C)C4CCC23C)OC1=O,
Pelargonidin 3-sophoroside,54542-60-8,C[C@H]1[C@H](O[C@H]2[C@H](OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,
Falcarindione,65892-84-4,CCCCCCC\C=C\C(=O)C#CC#CC(=O)C=C,
Pelargonidin 3-galactoside,125410-44-8,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)C(O)C(O)C1O,
Melilotocarpan E,83013-80-3,COC1=C(O)C2=C(C=C1)C1OC3=C(C=CC(O)=C3OC)C1CO2,
25-Methylgramisterol,123086-79-3,CC(CCC(=C)C(C)(C)C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC12C,
alpha-Tocopherol succinate,4345-03-3,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(OC(=O)CCC(O)=O)=C(C)C(C)=C2O1,
Pelargonidin 3-sophoroside 5-glucoside,75093-88-8,OCC1OC(OC2C(OC3=CC4=C(C=C(O)C=C4OC4OC(CO)C(O)C(O)C4O)[O+]=C3C3=CC=C(O)C=C3)OC(CO)C(O)C2O)C(O)C(O)C1O,
Pyranomammea C,30390-05-7,CCCC1=CC(=O)OC2=C1C(O)=C1CC(O)C(C)(C)OC1=C2C(=O)CC(C)C,
"(3beta,4alpha,5alpha,24(28)E)-4,14-Dimethylstigmasta-8,24(28)-dien-3-ol",73148-03-5,C\C=C(\CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)C1CC3)C(C)C,
(R)-3-Octyl acetate,4864-61-3,CCCCCC(CC)OC(C)=O,
Salidroside,10338-51-9,OCC1OC(OCCC2=CC=C(O)C=C2)C(O)C(O)C1O,
Withaphysacarpin,41929-21-9,CC1CC(OC(=O)C1C)C(C)(O)C1C(O)CC2C3CC4OC44C(O)C=CC(=O)C4(C)C3CCC12C,
"2'-Hydroxy-4',6'-dimethoxychalcone",1775-97-9,COC1=CC(O)=C(C(=O)\C=C\C2=CC=CC=C2)C(OC)=C1,"Linear 1,3-diarylpropanoids"
Melilotocarpan D,83013-81-4,COC1=C(O)C2=C(C=C1)C1COC3=C(C=CC(OC)=C3O)C1O2,
Acetoin,513-86-0,CC(O)C(C)=O,Carbonyl compounds
Pentadecane,629-62-9,CCCCCCCCCCCCCCC,
Falcarinone,4117-11-7,CCCCCCC\C=C\CC#CC#CC(=O)C=C,
Inosine,58-63-9,OCC1OC(C(O)C1O)N1C=NC2=C1NC=NC2=O.OCC1OC(C(O)C1O)N1C=NC2=C1N=CNC2=O.OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2O,Purine nucleosides
trans-Caffeic acid [apiosyl-(1->6)-glucosyl] ester,501-16-6,OCC1(O)COC(OCC2OC(OC(=O)\C=C\C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C1O,
Poppy acid,497-59-6,OC(=O)C1=CC(=O)C(O)=C(O1)C(O)=O,
gamma-Solanine,511-36-4,CC1C2CCC(C)CN2C2CC3C4CC=C5CC(CCC5(C)C4CCC3(C)C12)OC1OC(CO)C(O)C(O)C1O,
beta-Solanine,61877-94-9,CC1C2CCC(C)CN2C2CC3C4CC=C5CC(CCC5(C)C4CCC3(C)C12)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,
Melilotocarpan C,83013-82-5,COC1=C(O)C2=C(C=C1)C1OC3=C(C=CC(OC)=C3OC)C1CO2,
Acetoin acetate,4906-24-5,CC(OC(C)=O)C(C)=O,
Linamarin,554-35-8,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@@]([H])(OC(C)(C)C#N)[C@]1([H])O,Carbohydrates and carbohydrate conjugates
(S)-Higenamine,22672-77-1,OC1=CC=C(CC2NCCC3=C2C=C(O)C(O)=C3)C=C1,
Coclaurine,2196-60-3,COC1=CC2=C(C=C1O)C(CC1=CC=C(O)C=C1)NCC2,
(-)-(Z)-Tetrahydro-6-(2-pentenyl)-2H-pyran-2-one,25524-95-2,CC\C=C\CC1CCCC(=O)O1,
Hydrocotarnine,550-10-7,COC1=C2CN(C)CCC2=CC2=C1OCO2,
Pinostrobin chalcone,18956-15-5,COC1=CC(O)=C(C(=O)\C=C\C2=CC=CC=C2)C(O)=C1,"Linear 1,3-diarylpropanoids"
Coroloside,57361-71-4,CC1OC(CC(O)C1OC1OC(CO)C(O)C(O)C1O)OC1CCC2(C)C(CCC3C2CCC2(C)C(CCC32O)C2=CC(=O)OC2)C1,
L-Galactose,15572-79-9,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,
Salviaflaside,178895-25-5,OCC1OC(OC2=C(O)C=CC(\C=C/C(=O)OC(CC3=CC(O)=C(O)C=C3)C(O)=O)=C2)C(O)C(O)C1O,
Salviaflaside methyl ester,178860-70-3,COC(=O)C(CC1=CC(O)=C(O)C=C1)OC(=O)\C=C/C1=CC(OC2OC(CO)C(O)C(O)C2O)=C(O)C=C1,
Heliannuol E,241139-49-1,CC1=CC2=C(C=C1O)C(CC(O2)C(C)(C)O)C=C,
beta-D-Glucopyranose,492-61-5,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Carbohydrates and carbohydrate conjugates
Desglucocoroloside,57361-72-5,CC1OC(CC(O)C1O)OC1CCC2(C)C(CCC3C2CCC2(C)C(CCC32O)C2=CC(=O)OC2)C1,
"1-(4-Hydroxy-3-methoxyphenyl)-7-phenyl-3,5-heptanedione",83161-94-8,COC1=C(O)C=CC(CCC(=O)CC(=O)CCC2=CC=CC=C2)=C1,
5-Hydroxy-7-(4-hydroxyphenyl)-1-phenyl-3-heptanone,83161-96-0,OC(CCC1=CC=C(O)C=C1)CC(=O)CCC1=CC=CC=C1,
Genistein,446-72-0,OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,Isoflavonoids
alpha-D-Glucopyranose,492-62-6,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Carbohydrates and carbohydrate conjugates
Glycyrin,66056-18-6,COC1=CC2=C(C=C(C(=O)O2)C2=C(O)C=C(O)C=C2)C(OC)=C1CC=C(C)C,
2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,Carbonyl compounds
2-Methyl-2-pentenal,623-36-9,CC\C=C(\C)C=O,
Agavasaponin H,58546-21-7,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CC(=O)C3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(C)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C3OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,
3-Phenylpropanal,104-53-0,O=CCCC1=CC=CC=C1,
"(1R,2R)-Isocitric acid",30810-51-6,O[C@H]([C@@H](CC(O)=O)C(O)=O)C(O)=O,
Clitocine,105798-74-1,NC1=C(C(NC2OC(CO)C(O)C2O)=NC=N1)N(=O)=O,
10-Nonacosanone,504-56-3,CCCCCCCCCCCCCCCCCCCC(=O)CCCCCCCCC,
